IMF1,IMF1Y
148.6973478,148.7128901
148.7128901,148.728939
148.728939,148.7454856
148.7454856,148.762521
148.762521,148.7800363
148.7800363,148.7980226
148.7980226,148.8164711
148.8164711,148.8353728
148.8353728,148.8547189
148.8547189,148.8745004
148.8745004,148.8947085
148.8947085,148.9153344
148.9153344,148.936369
148.936369,148.9578036
148.9578036,148.9796292
148.9796292,149.001837
149.001837,149.024418
149.024418,149.0473635
149.0473635,149.0706644
149.0706644,149.0943119
149.0943119,149.1182971
149.1182971,149.1426111
149.1426111,149.1672451
149.1672451,149.1921902
149.1921902,149.2174374
149.2174374,149.2429779
149.2429779,149.2688028
149.2688028,149.2949032
149.2949032,149.3212702
149.3212702,149.3478949
149.3478949,149.3747685
149.3747685,149.401882
149.401882,149.4292266
149.4292266,149.4567934
149.4567934,149.4845735
149.4845735,149.512558
149.512558,149.540738
149.540738,149.5691047
149.5691047,149.597649
149.597649,149.6263623
149.6263623,149.6552355
149.6552355,149.6842598
149.6842598,149.7134263
149.7134263,149.7427261
149.7427261,149.7721503
149.7721503,149.8016901
149.8016901,149.8313365
149.8313365,149.8610806
149.8610806,149.8909137
149.8909137,149.9208267
149.9208267,149.9508108
149.9508108,149.9808572
149.9808572,150.0109568
150.0109568,150.0411009
150.0411009,150.0712805
150.0712805,150.1014868
150.1014868,150.1317109
150.1317109,150.1619439
150.1619439,150.1921769
150.1921769,150.2224009
150.2224009,150.2526072
150.2526072,150.2827869
150.2827869,150.312931
150.312931,150.3430306
150.3430306,150.373077
150.373077,150.4030611
150.4030611,150.4329741
150.4329741,150.4628071
150.4628071,150.4925513
150.4925513,150.5221977
150.5221977,150.5517375
150.5517375,150.5811617
150.5811617,150.6104615
150.6104615,150.639628
150.639628,150.6686523
150.6686523,150.6975255
150.6975255,150.7262387
150.7262387,150.7547831
150.7547831,150.7831498
150.7831498,150.8113298
150.8113298,150.8393143
150.8393143,150.8670944
150.8670944,150.8946611
150.8946611,150.9220057
150.9220057,150.9491193
150.9491193,150.9759929
150.9759929,151.0026176
151.0026176,151.0289846
151.0289846,151.055085
151.055085,151.0809099
151.0809099,151.1064504
151.1064504,151.1316976
151.1316976,151.1566426
151.1566426,151.1812766
151.1812766,151.2055907
151.2055907,151.2295759
151.2295759,151.2532234
151.2532234,151.2765243
151.2765243,151.2994697
151.2994697,151.3220508
151.3220508,151.3442585
151.3442585,151.3660842
151.3660842,151.3875187
151.3875187,151.4085534
151.4085534,151.4291792
151.4291792,151.4493874
151.4493874,151.4691689
151.4691689,151.488515
151.488515,151.5074167
151.5074167,151.5258652
151.5258652,151.5438515
151.5438515,151.5613668
151.5613668,151.5784022
151.5784022,151.5949488
151.5949488,151.6109977
151.6109977,151.62654
151.62654,151.6415669
151.6415669,151.6560694
151.6560694,151.6700387
151.6700387,-30.59760109
-30.59760109,-30.77299717
-30.77299717,-30.90473512
-30.90473512,-30.98858035
-30.98858035,-31.01947344
-31.01947344,-30.99235499
-30.99235499,-30.90216556
-30.90216556,-30.74384576
-30.74384576,-30.51233617
-30.51233617,-30.20257737
-30.20257737,-29.80950995
-29.80950995,-29.3280745
-29.3280745,-28.7532116
-28.7532116,-28.07986183
-28.07986183,-27.30296579
-27.30296579,-26.41746406
-26.41746406,-25.41829722
-25.41829722,-24.302394
-24.302394,-23.07463564
-23.07463564,-21.74189152
-21.74189152,-20.31103104
-20.31103104,-18.78892357
-18.78892357,-17.1824385
-17.1824385,-15.4984452
-15.4984452,-13.74381307
-13.74381307,-11.92541148
-11.92541148,-10.05010981
