DATE,IMF1
2014/9/10 0:00,-28.7532116
2014/9/11 0:00,-28.07986183
2014/9/12 0:00,-27.30296579
2014/9/13 0:00,-26.41746406
2014/9/14 0:00,-25.41829722
2014/9/15 0:00,-24.302394
2014/9/16 0:00,-23.07463564
2014/9/17 0:00,-21.74189152
2014/9/18 0:00,-20.31103104
2014/9/19 0:00,-18.78892357
2014/9/20 0:00,-17.1824385
2014/9/21 0:00,-15.4984452
2014/9/22 0:00,-13.74381307
2014/9/23 0:00,-11.92541148
2014/9/24 0:00,-10.05010981
2014/9/25 0:00,-8.12477746
2014/9/26 0:00,-6.1562838
2014/9/27 0:00,-4.151498215
2014/9/28 0:00,-2.11729009
2014/9/29 0:00,-0.060659598
2014/9/30 0:00,2.010412013
2014/10/1 0:00,4.085981077
2014/10/2 0:00,6.15564602
2014/10/3 0:00,8.209005271
2014/10/4 0:00,10.23565726
2014/10/5 0:00,12.2252004
2014/10/6 0:00,14.16723314
2014/10/7 0:00,16.05135389
2014/10/8 0:00,17.86716108
2014/10/9 0:00,19.60425315
2014/10/10 0:00,21.25222851
2014/10/11 0:00,22.8006856
2014/10/12 0:00,24.23922284
2014/10/13 0:00,25.55743866
2014/10/14 0:00,26.74493148
2014/10/15 0:00,27.79129974
2014/10/16 0:00,28.68614186
2014/10/17 0:00,29.41905627
2014/10/18 0:00,29.97964139
2014/10/19 0:00,30.36045576
2014/10/20 0:00,30.56589833
2014/10/21 0:00,30.60332816
2014/10/22 0:00,30.48010431
2014/10/23 0:00,30.20358584
2014/10/24 0:00,29.7811318
2014/10/25 0:00,29.22010126
2014/10/26 0:00,28.52785327
2014/10/27 0:00,27.7117469
2014/10/28 0:00,26.77914119
2014/10/29 0:00,25.73739522
2014/10/30 0:00,24.59386803
2014/10/31 0:00,23.35591869
2014/11/1 0:00,22.03090625
2014/11/2 0:00,20.62618978
2014/11/3 0:00,19.14912834
2014/11/4 0:00,17.60708097
2014/11/5 0:00,16.00740675
2014/11/6 0:00,14.35742717
2014/11/7 0:00,12.66431352
2014/11/8 0:00,10.93519955
2014/11/9 0:00,9.177218977
2014/11/10 0:00,7.397505547
2014/11/11 0:00,5.603192992
2014/11/12 0:00,3.801415048
2014/11/13 0:00,1.999305449
2014/11/14 0:00,0.203997932
2014/11/15 0:00,-1.577373769
2014/11/16 0:00,-3.337675918
2014/11/17 0:00,-5.069774781
2014/11/18 0:00,-6.766536622
2014/11/19 0:00,-8.420827705
2014/11/20 0:00,-10.0255143
2014/11/21 0:00,-11.57346266
2014/11/22 0:00,-13.05753906
2014/11/23 0:00,-14.47162249
2014/11/24 0:00,-15.81364288
2014/11/25 0:00,-17.08300596
2014/11/26 0:00,-18.28096976
2014/11/27 0:00,-19.40925543
2014/11/28 0:00,-20.46958407
2014/11/29 0:00,-21.46367682
2014/11/30 0:00,-22.39325479
2014/12/1 0:00,-23.26003912
2014/12/2 0:00,-24.06575093
2014/12/3 0:00,-24.81211133
2014/12/4 0:00,-25.50084146
2014/12/5 0:00,-26.13366244
2014/12/6 0:00,-26.71229539
2014/12/7 0:00,-27.23846145
2014/12/8 0:00,-27.71388172
2014/12/9 0:00,-28.14027733
2014/12/10 0:00,-28.51936942
2014/12/11 0:00,-28.8528791
2014/12/12 0:00,-29.1425275
2014/12/13 0:00,-29.39003574
2014/12/14 0:00,-29.59712495
2014/12/15 0:00,-29.76551625
2014/12/16 0:00,-29.89693076
2014/12/17 0:00,-29.99308962
2014/12/18 0:00,-30.05571393
2014/12/19 0:00,-30.08652483
2014/12/20 0:00,-30.08724344
2014/12/21 0:00,-30.05959089
2014/12/22 0:00,-30.0052883
2014/12/23 0:00,-29.92605679
2014/12/24 0:00,-29.82361749
2014/12/25 0:00,-29.69969152
2014/12/26 0:00,-29.55570193
2014/12/27 0:00,-18.14857088
2014/12/28 0:00,-23.30439398
2014/12/29 0:00,-27.88067174
2014/12/30 0:00,-10.83806017
2014/12/31 0:00,17.32871983
2015/1/1 0:00,18.93923482
2015/1/2 0:00,-0.099335515
2015/1/3 0:00,-12.5149346
2015/1/4 0:00,1.243761943
2015/1/5 0:00,20.77912352
2015/1/6 0:00,16.1472231
2015/1/7 0:00,-27.51575341
2015/1/8 0:00,-63.71287994
2015/1/9 0:00,-28.12350943
2015/1/10 0:00,47.85463449
2015/1/11 0:00,102.9809148
2015/1/12 0:00,71.59170195
2015/1/13 0:00,-13.84581571
2015/1/14 0:00,-89.86931097
2015/1/15 0:00,-95.59035837
2015/1/16 0:00,-47.1788217
2015/1/17 0:00,18.54105014
2015/1/18 0:00,61.55113813
2015/1/19 0:00,53.50064332
2015/1/20 0:00,16.05159183
2015/1/21 0:00,-19.22392899
2015/1/22 0:00,-31.12641181
2015/1/23 0:00,-10.69188552
2015/1/24 0:00,15.78521318
2015/1/25 0:00,30.10334668
2015/1/26 0:00,34.35906417
2015/1/27 0:00,31.82665153
2015/1/28 0:00,26.27230203
2015/1/29 0:00,18.4835989
2015/1/30 0:00,8.181628735
2015/1/31 0:00,-5.609958353
2015/2/1 0:00,-24.04187134
2015/2/2 0:00,-46.81207206
2015/2/3 0:00,-67.80753386
2015/2/4 0:00,-79.46248292
2015/2/5 0:00,-73.58856965
2015/2/6 0:00,-41.64887289
2015/2/7 0:00,12.28658914
