DATE,IMF1,IMF1Y
2014/8/16,151.4691689,151.488515
2014/8/17,151.488515,151.5074167
2014/8/18,151.5074167,151.5258652
2014/8/19,151.5258652,151.5438515
2014/8/20,151.5438515,151.5613668
2014/8/21,151.5613668,151.5784022
2014/8/22,151.5784022,151.5949488
2014/8/23,151.5949488,151.6109977
2014/8/24,151.6109977,151.62654
2014/8/25,151.62654,151.6415669
2014/8/26,151.6415669,151.6560694
2014/8/27,151.6560694,151.6700387
2014/8/28,151.6700387,-30.59760109
2014/8/29,-30.59760109,-30.77299717
2014/8/30,-30.77299717,-30.90473512
2014/8/31,-30.90473512,-30.98858035
2014/9/1,-30.98858035,-31.01947344
2014/9/2,-31.01947344,-30.99235499
2014/9/3,-30.99235499,-30.90216556
2014/9/4,-30.90216556,-30.74384576
2014/9/5,-30.74384576,-30.51233617
2014/9/6,-30.51233617,-30.20257737
2014/9/7,-30.20257737,-29.80950995
2014/9/8,-29.80950995,-29.3280745
2014/9/9,-29.3280745,-28.7532116
2014/9/10,-28.7532116,-28.07986183
2014/9/11,-28.07986183,-27.30296579
2014/9/12,-27.30296579,-26.41746406
2014/9/13,-26.41746406,-25.41829722
2014/9/14,-25.41829722,-24.302394
2014/9/15,-24.302394,-23.07463564
2014/9/16,-23.07463564,-21.74189152
2014/9/17,-21.74189152,-20.31103104
2014/9/18,-20.31103104,-18.78892357
2014/9/19,-18.78892357,-17.1824385
2014/9/20,-17.1824385,-15.4984452
2014/9/21,-15.4984452,-13.74381307
2014/9/22,-13.74381307,-11.92541148
2014/9/23,-11.92541148,-10.05010981
2014/9/24,-10.05010981,-8.12477746
2014/9/25,-8.12477746,-6.1562838
2014/9/26,-6.1562838,-4.151498215
2014/9/27,-4.151498215,-2.11729009
2014/9/28,-2.11729009,-0.060659598
2014/9/29,-0.060659598,2.010412013
2014/9/30,2.010412013,4.085981077
2014/10/1,4.085981077,6.15564602
2014/10/2,6.15564602,8.209005271
2014/10/3,8.209005271,10.23565726
2014/10/4,10.23565726,12.2252004
2014/10/5,12.2252004,14.16723314
2014/10/6,14.16723314,16.05135389
2014/10/7,16.05135389,17.86716108
2014/10/8,17.86716108,19.60425315
2014/10/9,19.60425315,21.25222851
2014/10/10,21.25222851,22.8006856
2014/10/11,22.8006856,24.23922284
2014/10/12,24.23922284,25.55743866
2014/10/13,25.55743866,26.74493148
2014/10/14,26.74493148,27.79129974
2014/10/15,27.79129974,28.68614186
2014/10/16,28.68614186,29.41905627
2014/10/17,29.41905627,29.97964139
2014/10/18,29.97964139,30.36045576
2014/10/19,30.36045576,30.56589833
2014/10/20,30.56589833,30.60332816
2014/10/21,30.60332816,30.48010431
2014/10/22,30.48010431,30.20358584
2014/10/23,30.20358584,29.7811318
2014/10/24,29.7811318,29.22010126
2014/10/25,29.22010126,28.52785327
2014/10/26,28.52785327,27.7117469
2014/10/27,27.7117469,26.77914119
2014/10/28,26.77914119,25.73739522
2014/10/29,25.73739522,24.59386803
2014/10/30,24.59386803,23.35591869
2014/10/31,23.35591869,22.03090625
2014/11/1,22.03090625,20.62618978
2014/11/2,20.62618978,19.14912834
2014/11/3,19.14912834,17.60708097
2014/11/4,17.60708097,16.00740675
2014/11/5,16.00740675,14.35742717
2014/11/6,14.35742717,12.66431352
2014/11/7,12.66431352,10.93519955
2014/11/8,10.93519955,9.177218977
2014/11/9,9.177218977,7.397505547
2014/11/10,7.397505547,5.603192992
2014/11/11,5.603192992,3.801415048
2014/11/12,3.801415048,1.999305449
2014/11/13,1.999305449,0.203997932
2014/11/14,0.203997932,-1.577373769
2014/11/15,-1.577373769,-3.337675918
2014/11/16,-3.337675918,-5.069774781
2014/11/17,-5.069774781,-6.766536622
2014/11/18,-6.766536622,-8.420827705
2014/11/19,-8.420827705,-10.0255143
2014/11/20,-10.0255143,-11.57346266
2014/11/21,-11.57346266,-13.05753906
2014/11/22,-13.05753906,-14.47162249
2014/11/23,-14.47162249,-15.81364288
2014/11/24,-15.81364288,-17.08300596
2014/11/25,-17.08300596,-18.28096976
2014/11/26,-18.28096976,-19.40925543
2014/11/27,-19.40925543,-20.46958407
2014/11/28,-20.46958407,-21.46367682
2014/11/29,-21.46367682,-22.39325479
2014/11/30,-22.39325479,-23.26003912
2014/12/1,-23.26003912,-24.06575093
2014/12/2,-24.06575093,-24.81211133
2014/12/3,-24.81211133,-25.50084146
2014/12/4,-25.50084146,-26.13366244
2014/12/5,-26.13366244,-26.71229539
2014/12/6,-26.71229539,-27.23846145
2014/12/7,-27.23846145,-27.71388172
2014/12/8,-27.71388172,-28.14027733
2014/12/9,-28.14027733,-28.51936942
2014/12/10,-28.51936942,-28.8528791
2014/12/11,-28.8528791,-29.1425275
2014/12/12,-29.1425275,-29.39003574
2014/12/13,-29.39003574,-29.59712495
2014/12/14,-29.59712495,-29.76551625
2014/12/15,-29.76551625,-29.89693076
2014/12/16,-29.89693076,-29.99308962
2014/12/17,-29.99308962,-30.05571393
2014/12/18,-30.05571393,-30.08652483
2014/12/19,-30.08652483,-30.08724344
2014/12/20,-30.08724344,-30.05959089
2014/12/21,-30.05959089,-30.0052883
2014/12/22,-30.0052883,-29.92605679
2014/12/23,-29.92605679,-29.82361749
2014/12/24,-29.82361749,-29.69969152
2014/12/25,-29.69969152,-29.55570193
2014/12/26,-29.55570193,-18.14857088
2014/12/27,-18.14857088,-23.30439398
2014/12/28,-23.30439398,-27.88067174
2014/12/29,-27.88067174,-10.83806017
2014/12/30,-10.83806017,17.32871983
2014/12/31,17.32871983,18.93923482
2015/1/1,18.93923482,-0.099335515
2015/1/2,-0.099335515,-12.5149346
2015/1/3,-12.5149346,1.243761943
2015/1/4,1.243761943,20.77912352
2015/1/5,20.77912352,16.1472231
2015/1/6,16.1472231,-27.51575341
2015/1/7,-27.51575341,-63.71287994
2015/1/8,-63.71287994,-28.12350943
2015/1/9,-28.12350943,47.85463449
2015/1/10,47.85463449,102.9809148
2015/1/11,102.9809148,71.59170195
2015/1/12,71.59170195,-13.84581571
2015/1/13,-13.84581571,-89.86931097
2015/1/14,-89.86931097,-95.59035837
2015/1/15,-95.59035837,-47.1788217
2015/1/16,-47.1788217,18.54105014
2015/1/17,18.54105014,61.55113813
2015/1/18,61.55113813,53.50064332
2015/1/19,53.50064332,16.05159183
2015/1/20,16.05159183,-19.22392899
2015/1/21,-19.22392899,-31.12641181
2015/1/22,-31.12641181,-10.69188552
2015/1/23,-10.69188552,15.78521318
2015/1/24,15.78521318,30.10334668
2015/1/25,30.10334668,34.35906417
2015/1/26,34.35906417,31.82665153
2015/1/27,31.82665153,26.27230203
2015/1/28,26.27230203,18.4835989
2015/1/29,18.4835989,8.181628735
2015/1/30,8.181628735,-5.609958353
2015/1/31,-5.609958353,-24.04187134
2015/2/1,-24.04187134,-46.81207206
2015/2/2,-46.81207206,-67.80753386
2015/2/3,-67.80753386,-79.46248292
2015/2/4,-79.46248292,-73.58856965
2015/2/5,-73.58856965,-41.64887289
2015/2/6,-41.64887289,12.28658914
2015/2/7,12.28658914,65.71949242
2015/2/8,65.71949242,100.9440509
2015/2/9,100.9440509,102.6182605
2015/2/10,102.6182605,61.87556289
2015/2/11,61.87556289,-4.248815175
2015/2/12,-4.248815175,-72.244201
2015/2/13,-72.244201,-119.1702738
2015/2/14,-119.1702738,-127.0195337
2015/2/15,-127.0195337,-89.27125436
2015/2/16,-89.27125436,-9.01460487
2015/2/17,-9.01460487,82.87995644
2015/2/18,82.87995644,138.0026544
2015/2/19,138.0026544,129.4070909
2015/2/20,129.4070909,45.35515169
2015/2/21,45.35515169,-70.00692504
2015/2/22,-70.00692504,-113.2180264
2015/2/23,-113.2180264,-51.7278473
2015/2/24,-51.7278473,29.11735908
2015/2/25,29.11735908,73.52426621
2015/2/26,73.52426621,55.53125354
2015/2/27,55.53125354,9.354261561
2015/2/28,9.354261561,-23.67549982
2015/3/1,-23.67549982,-33.94330411
2015/3/2,-33.94330411,-20.17291848
2015/3/3,-20.17291848,12.04323427
2015/3/4,12.04323427,35.77870147
2015/3/5,35.77870147,27.29886867
2015/3/6,27.29886867,-1.633405807
2015/3/7,-1.633405807,-28.66934401
2015/3/8,-28.66934401,-49.89044218
2015/3/9,-49.89044218,-66.4371308
2015/3/10,-66.4371308,-79.44984036
2015/3/11,-79.44984036,-90.34309099
2015/3/12,-90.34309099,-100.4326657
2015/3/13,-100.4326657,-106.3756334
2015/3/14,-106.3756334,-102.8799093
2015/3/15,-102.8799093,-84.92184342
2015/3/16,-84.92184342,-51.32685862
2015/3/17,-51.32685862,-4.136609871
2015/3/18,-4.136609871,45.73576816
2015/3/19,45.73576816,81.23901415
2015/3/20,81.23901415,77.56549338
2015/3/21,77.56549338,39.23773313
2015/3/22,39.23773313,-12.28180699
